,empo_1,empo_2,empo_3
15773,Host-associated,Plant,Plant surface
15774,Free-living,Non-saline,Water (non-saline)
15775,Host-associated,Animal,Animal surface
15776,Free-living,Non-saline,Soil (non-saline)
15777,Host-associated,Plant,Plant surface
15778,Free-living,Non-saline,Water (non-saline)
15779,Free-living,Non-saline,Soil (non-saline)
15780,Free-living,Non-saline,Soil (non-saline)
15781,Free-living,Non-saline,Water (non-saline)
15782,Free-living,Non-saline,Soil (non-saline)
15783,Free-living,Non-saline,Soil (non-saline)
15784,Free-living,Non-saline,Soil (non-saline)
15785,Host-associated,Plant,Plant surface
15786,Free-living,Non-saline,Soil (non-saline)
15787,Host-associated,Animal,Animal secretion
15788,Host-associated,Plant,Plant surface
15789,Host-associated,Animal,Animal secretion
15790,Free-living,Non-saline,Surface (non-saline)
15791,Host-associated,Plant,Plant surface
15792,Free-living,Non-saline,Water (non-saline)
15793,Host-associated,Plant,Plant surface
15794,Host-associated,Animal,Animal distal gut
15795,Free-living,Non-saline,Soil (non-saline)
15796,Host-associated,Animal,Animal distal gut
15797,Host-associated,Animal,Animal distal gut
15798,Free-living,Non-saline,Water (non-saline)
15799,Free-living,Non-saline,Soil (non-saline)
15800,Free-living,Saline,Water (saline)
15801,Free-living,Non-saline,Soil (non-saline)
15802,Free-living,Non-saline,Water (non-saline)
15803,Free-living,Non-saline,Water (non-saline)
15804,Free-living,Non-saline,Water (non-saline)
15805,Host-associated,Animal,Animal surface
15806,Free-living,Non-saline,Water (non-saline)
15807,Free-living,Non-saline,Soil (non-saline)
15808,Free-living,Non-saline,Surface (non-saline)
15809,Free-living,Saline,Water (saline)
15810,Free-living,Non-saline,Soil (non-saline)
15811,Free-living,Non-saline,Soil (non-saline)
15812,Free-living,Non-saline,Water (non-saline)
15813,Host-associated,Animal,Animal secretion
15814,Host-associated,Animal,Animal surface
15815,Host-associated,Animal,Animal distal gut
15816,Host-associated,Animal,Animal secretion
15817,Free-living,Non-saline,Soil (non-saline)
15818,Free-living,Non-saline,Soil (non-saline)
15819,Host-associated,Animal,Animal distal gut
15820,Host-associated,Plant,Plant surface
15821,Host-associated,Plant,Plant surface
15822,Host-associated,Animal,Animal distal gut
15823,Free-living,Non-saline,Surface (non-saline)
15824,Host-associated,Animal,Animal secretion
15825,Host-associated,Animal,Animal distal gut
15826,Free-living,Non-saline,Surface (non-saline)
15827,Host-associated,Animal,Animal surface
15828,Host-associated,Animal,Animal distal gut
15829,Host-associated,Animal,Animal distal gut
15830,Free-living,Non-saline,Water (non-saline)
15831,Free-living,Non-saline,Soil (non-saline)
15832,Free-living,Non-saline,Soil (non-saline)
15833,Host-associated,Animal,Animal secretion
15834,Free-living,Non-saline,Water (non-saline)
15835,Host-associated,Animal,Animal surface
15836,Free-living,Non-saline,Soil (non-saline)
15837,Host-associated,Animal,Animal distal gut
15838,Host-associated,Animal,Animal distal gut
15839,Host-associated,Animal,Animal secretion
15840,Free-living,Non-saline,Soil (non-saline)
15841,Host-associated,Animal,Animal surface
15842,Free-living,Non-saline,Soil (non-saline)
15843,Free-living,Non-saline,Soil (non-saline)
15844,Free-living,Non-saline,Surface (non-saline)
15845,Host-associated,Animal,Animal surface
15846,Free-living,Non-saline,Soil (non-saline)
15847,Host-associated,Plant,Plant rhizosphere
15848,Free-living,Non-saline,Soil (non-saline)
15849,Free-living,Non-saline,Water (non-saline)
15850,Host-associated,Plant,Plant rhizosphere
15851,Free-living,Saline,Water (saline)
15852,Free-living,Non-saline,Sediment (non-saline)
15853,Host-associated,Animal,Animal distal gut
15854,Free-living,Non-saline,Water (non-saline)
15855,Free-living,Non-saline,Soil (non-saline)
15856,Host-associated,Animal,Animal distal gut
15857,Host-associated,Plant,Plant surface
15858,Free-living,Non-saline,Soil (non-saline)
15859,Free-living,Non-saline,Sediment (non-saline)
15860,Free-living,Non-saline,Surface (non-saline)
15861,Free-living,Non-saline,Water (non-saline)
15862,Host-associated,Plant,Plant surface
15863,Free-living,Non-saline,Soil (non-saline)
15864,Host-associated,Animal,Animal secretion
15865,Free-living,Non-saline,Water (non-saline)
15866,Host-associated,Animal,Animal distal gut
15867,Host-associated,Animal,Animal distal gut
15868,Free-living,Non-saline,Water (non-saline)
15869,Free-living,Non-saline,Water (non-saline)
15870,Host-associated,Animal,Animal distal gut
15871,Host-associated,Animal,Animal corpus
15872,Free-living,Non-saline,Soil (non-saline)
15873,Host-associated,Animal,Animal surface
15874,Free-living,Non-saline,Water (non-saline)
15875,Host-associated,Plant,Plant surface
15876,Free-living,Non-saline,Water (non-saline)
15877,Free-living,Non-saline,Water (non-saline)
15878,Host-associated,Animal,Animal proximal gut
15879,Host-associated,Animal,Animal distal gut
15880,Free-living,Saline,Sediment (saline)
15881,Free-living,Non-saline,Soil (non-saline)
15882,Free-living,Non-saline,Surface (non-saline)
15883,Free-living,Saline,Sediment (saline)
15884,Free-living,Non-saline,Water (non-saline)
15885,Free-living,Non-saline,Surface (non-saline)
15886,Free-living,Non-saline,Soil (non-saline)
15887,Host-associated,Animal,Animal surface
15888,Free-living,Non-saline,Water (non-saline)
15889,Host-associated,Animal,Animal distal gut
15890,Host-associated,Plant,Plant rhizosphere
15891,Free-living,Non-saline,Soil (non-saline)
15892,Free-living,Non-saline,Water (non-saline)
15893,Host-associated,Animal,Animal surface
15894,Host-associated,Animal,Animal surface
15895,Host-associated,Animal,Animal distal gut
15896,Free-living,Non-saline,Water (non-saline)
15897,Free-living,Non-saline,Sediment (non-saline)
15898,Host-associated,Animal,Animal distal gut
15899,Free-living,Non-saline,Soil (non-saline)
15900,Host-associated,Animal,Animal distal gut
15901,Host-associated,Animal,Animal surface
15902,Free-living,Non-saline,Soil (non-saline)
15903,Free-living,Non-saline,Water (non-saline)
15904,Host-associated,Animal,Animal secretion
15905,Free-living,Non-saline,Soil (non-saline)
15906,Host-associated,Animal,Animal distal gut
15907,Free-living,Saline,Water (saline)
15908,Free-living,Non-saline,Water (non-saline)
15909,Free-living,Non-saline,Sediment (non-saline)
15910,Host-associated,Plant,Plant rhizosphere
15911,Host-associated,Animal,Animal surface
15912,Free-living,Non-saline,Soil (non-saline)
15913,Host-associated,Animal,Animal proximal gut
15914,Free-living,Non-saline,Water (non-saline)
15915,Host-associated,Animal,Animal surface
15916,Free-living,Non-saline,Soil (non-saline)
15917,Host-associated,Animal,Animal surface
15918,Free-living,Non-saline,Soil (non-saline)
15919,Free-living,Non-saline,Surface (non-saline)
15920,Free-living,Non-saline,Water (non-saline)
15921,Host-associated,Animal,Animal secretion
15922,Free-living,Non-saline,Soil (non-saline)
15923,Free-living,Non-saline,Sediment (non-saline)
15924,Free-living,Non-saline,Sediment (non-saline)
15925,Free-living,Saline,Water (saline)
15926,Host-associated,Animal,Animal distal gut
15927,Host-associated,Animal,Animal surface
15928,Free-living,Non-saline,Water (non-saline)
15929,Free-living,Non-saline,Soil (non-saline)
15930,Free-living,Non-saline,Water (non-saline)
15931,Host-associated,Plant,Plant surface
15932,Free-living,Non-saline,Surface (non-saline)
15933,Free-living,Saline,Water (saline)
15934,Free-living,Non-saline,Soil (non-saline)
15935,Free-living,Non-saline,Soil (non-saline)
15936,Host-associated,Animal,Animal secretion
15937,Free-living,Non-saline,Sediment (non-saline)
15938,Host-associated,Animal,Animal proximal gut
15939,Host-associated,Animal,Animal secretion
15940,Free-living,Non-saline,Water (non-saline)
15941,Free-living,Non-saline,Water (non-saline)
15942,Free-living,Non-saline,Surface (non-saline)
15943,Host-associated,Animal,Animal secretion
15944,Free-living,Non-saline,Soil (non-saline)
15945,Free-living,Non-saline,Soil (non-saline)
15946,Free-living,Non-saline,Water (non-saline)
15947,Host-associated,Animal,Animal distal gut
15948,Free-living,Non-saline,Water (non-saline)
15949,Host-associated,Plant,Plant rhizosphere
15950,Free-living,Non-saline,Water (non-saline)
15951,Free-living,Saline,Sediment (saline)
15952,Host-associated,Animal,Animal surface
15953,Free-living,Saline,Sediment (saline)
15954,Host-associated,Animal,Animal distal gut
15955,Free-living,Non-saline,Soil (non-saline)
15956,Host-associated,Animal,Animal distal gut
15957,Free-living,Non-saline,Soil (non-saline)
15958,Free-living,Non-saline,Water (non-saline)
15959,Free-living,Saline,Sediment (saline)
15960,Free-living,Non-saline,Soil (non-saline)
15961,Host-associated,Animal,Animal surface
15962,Free-living,Non-saline,Water (non-saline)
15963,Free-living,Non-saline,Water (non-saline)
15964,Host-associated,Plant,Plant surface
15965,Host-associated,Animal,Animal distal gut
15966,Host-associated,Animal,Animal secretion
15967,Host-associated,Plant,Plant surface
15968,Host-associated,Animal,Animal surface
15969,Free-living,Non-saline,Soil (non-saline)
15970,Host-associated,Animal,Animal corpus
15971,Free-living,Non-saline,Soil (non-saline)
15972,Host-associated,Animal,Animal secretion
15973,Free-living,Saline,Sediment (saline)
15974,Host-associated,Animal,Animal proximal gut
15975,Host-associated,Plant,Plant surface
15976,Free-living,Saline,Water (saline)
15977,Free-living,Non-saline,Soil (non-saline)
15978,Host-associated,Plant,Plant surface
15979,Host-associated,Animal,Animal secretion
15980,Free-living,Non-saline,Water (non-saline)
15981,Host-associated,Animal,Animal distal gut
15982,Host-associated,Plant,Plant surface
15983,Free-living,Non-saline,Water (non-saline)
15984,Free-living,Non-saline,Surface (non-saline)
15985,Host-associated,Plant,Plant rhizosphere
15986,Free-living,Non-saline,Soil (non-saline)
15987,Free-living,Non-saline,Water (non-saline)
15988,Host-associated,Plant,Plant corpus
15989,Free-living,Non-saline,Sediment (non-saline)
15990,Free-living,Non-saline,Surface (non-saline)
15991,Host-associated,Animal,Animal secretion
15992,Free-living,Non-saline,Surface (non-saline)
15993,Free-living,Non-saline,Surface (non-saline)
15994,Host-associated,Animal,Animal surface
15995,Free-living,Non-saline,Soil (non-saline)
15996,Host-associated,Animal,Animal distal gut
15997,Host-associated,Animal,Animal distal gut
15998,Free-living,Non-saline,Soil (non-saline)
15999,Free-living,Non-saline,Soil (non-saline)
16000,Host-associated,Animal,Animal distal gut
16001,Host-associated,Animal,Animal distal gut
16002,Free-living,Non-saline,Soil (non-saline)
16003,Free-living,Non-saline,Water (non-saline)
16004,Free-living,Non-saline,Soil (non-saline)
16005,Host-associated,Animal,Animal distal gut
16006,Host-associated,Animal,Animal surface
16007,Host-associated,Animal,Animal surface
16008,Host-associated,Animal,Animal surface
16009,Host-associated,Animal,Animal distal gut
16010,Free-living,Non-saline,Water (non-saline)
16011,Host-associated,Animal,Animal surface
16012,Host-associated,Animal,Animal distal gut
16013,Free-living,Non-saline,Water (non-saline)
16014,Host-associated,Plant,Plant surface
16015,Free-living,Non-saline,Water (non-saline)
16016,Free-living,Non-saline,Soil (non-saline)
16017,Free-living,Non-saline,Soil (non-saline)
16018,Host-associated,Plant,Plant surface
16019,Free-living,Non-saline,Water (non-saline)
16020,Host-associated,Animal,Animal distal gut
16021,Host-associated,Animal,Animal distal gut
16022,Free-living,Non-saline,Water (non-saline)
16023,Free-living,Non-saline,Water (non-saline)
16024,Host-associated,Animal,Animal surface
16025,Free-living,Non-saline,Water (non-saline)
16026,Host-associated,Animal,Animal surface
16027,Free-living,Non-saline,Water (non-saline)
16028,Free-living,Non-saline,Surface (non-saline)
16029,Host-associated,Plant,Plant surface
16030,Host-associated,Animal,Animal distal gut
16031,Free-living,Non-saline,Soil (non-saline)
16032,Host-associated,Animal,Animal distal gut
16033,Free-living,Non-saline,Water (non-saline)
16034,Free-living,Non-saline,Water (non-saline)
16035,Free-living,Non-saline,Water (non-saline)
16036,Host-associated,Plant,Plant rhizosphere
16037,Free-living,Non-saline,Water (non-saline)
16038,Host-associated,Animal,Animal corpus
16039,Free-living,Non-saline,Water (non-saline)
16040,Free-living,Non-saline,Soil (non-saline)
16041,Free-living,Non-saline,Water (non-saline)
16042,Host-associated,Animal,Animal surface
16043,Host-associated,Animal,Animal distal gut
16044,Host-associated,Animal,Animal distal gut
16045,Free-living,Non-saline,Water (non-saline)
16046,Host-associated,Animal,Animal distal gut
16047,Free-living,Non-saline,Surface (non-saline)
16048,Free-living,Non-saline,Surface (non-saline)
16049,Host-associated,Animal,Animal distal gut
16050,Host-associated,Animal,Animal surface
16051,Host-associated,Animal,Animal distal gut
16052,Host-associated,Animal,Animal distal gut
16053,Free-living,Non-saline,Soil (non-saline)
16054,Free-living,Non-saline,Water (non-saline)
16055,Host-associated,Animal,Animal distal gut
16056,Free-living,Non-saline,Water (non-saline)
16057,Host-associated,Plant,Plant surface
16058,Host-associated,Animal,Animal distal gut
16059,Host-associated,Plant,Plant surface
16060,Host-associated,Animal,Animal distal gut
16061,Host-associated,Animal,Animal distal gut
16062,Host-associated,Animal,Animal surface
16063,Host-associated,Animal,Animal distal gut
16064,Host-associated,Animal,Animal distal gut
16065,Free-living,Non-saline,Water (non-saline)
16066,Free-living,Non-saline,Sediment (non-saline)
16067,Host-associated,Plant,Plant rhizosphere
16068,Host-associated,Animal,Animal secretion
16069,Host-associated,Plant,Plant rhizosphere
16070,Free-living,Non-saline,Soil (non-saline)
16071,Free-living,Non-saline,Surface (non-saline)
16072,Host-associated,Animal,Animal distal gut
16073,Host-associated,Animal,Animal distal gut
16074,Free-living,Non-saline,Water (non-saline)
16075,Free-living,Non-saline,Water (non-saline)
16076,Free-living,Non-saline,Water (non-saline)
16077,Host-associated,Plant,Plant rhizosphere
16078,Host-associated,Animal,Animal surface
16079,Free-living,Non-saline,Water (non-saline)
16080,Host-associated,Animal,Animal proximal gut
16081,Host-associated,Animal,Animal distal gut
16082,Host-associated,Animal,Animal distal gut
16083,Free-living,Non-saline,Soil (non-saline)
16084,Host-associated,Animal,Animal distal gut
16085,Host-associated,Plant,Plant rhizosphere
16086,Free-living,Non-saline,Sediment (non-saline)
16087,Free-living,Non-saline,Water (non-saline)
16088,Host-associated,Plant,Plant surface
16089,Free-living,Non-saline,Soil (non-saline)
16090,Host-associated,Animal,Animal distal gut
16091,Host-associated,Animal,Animal distal gut
16092,Host-associated,Animal,Animal distal gut
16093,Host-associated,Animal,Animal surface
16094,Free-living,Non-saline,Soil (non-saline)
16095,Host-associated,Animal,Animal distal gut
16096,Free-living,Non-saline,Soil (non-saline)
16097,Free-living,Non-saline,Soil (non-saline)
16098,Free-living,Non-saline,Soil (non-saline)
16099,Free-living,Non-saline,Water (non-saline)
16100,Host-associated,Animal,Animal secretion
16101,Host-associated,Animal,Animal surface
